System_Ref,FIS_Registration_Name,Provider_Name,Service_Description,Note,Per_Hour,Total_Cost__Hour,Per_Day,Total_Cost__Day,Per_Session,Total_Cost__Session,Per_Week,Total_Cost__Week,Per_Term,Total_Cost__Term,Is_Free,Delivery_Channel_Description,First_Line,Second_Line,Third_Line,Town,Post_Code,Full_Address,Political_Ward_Description,Web_Site,Referral_Procedure,E_Mail,Telephone,Mobile,Availability_Start_Date,Availability_End_Date,Provider_Type_Description
11408,Autism Voice,Summer Holiday Food And Fun Activities For Autistic Children,"We will provide the following activities: indoor and outdoor sports, arts and crafts, music and dance, food matters workshop, Lego therapy, Free play, Sensory activities, Water play, Messy play, Gardening, Nature walk and Trips out. 

For booking and referral please call or email us. 
","All our activities are SEND focus. Expect a fun and nonjudgmental environment where autistic children are encouraged and supported to be themselves.  

Follow us on social media @autismvoice1",False,,False,,False,,False,,False,,True,Meeting a group of people,161 - 167 Clapham Manor Street,,,London,SW4 6DB,"161 - 167 Clapham Manor Street, , London, SW4 6DB",,https://www.autismvoice.org.uk/,,autismvoice1@gmail.com,07460 399 290,,7/25/2022 12:00:00 AM,8/26/2022 12:00:00 AM,Summer of Food and Fun 2022
11413,Whippersnappers Cic,Whippersnappers Summer Playscheme 2022,"Is your child:

- Entitled to free school meals
- between the ages of 8 to 16 years old
- a Lambeth resident?

If the answer to all the questions above is yes then we have limited free places available at the Whippersnapper Summer playscheme  which is funded by Lambeth HAF

Everyday Whippersnappers will offer the children a menu of physical activities that young people can choose from. Activities can include;

- Swimming
- Dance
- Yoga
- Zumba
- Outdoor games in the park i.e. rounders, obstacle races, football, basketball, and tennis.

We will also encourage the young people ages 14 to 16 to lead in the activities if they have relevant skills in sports or physical activity with support from our playworkers.

Suitable for children and young people with special educational needs and disabilities.
","Free for children with free school meals.

Our site includes a kitchen, eating area and large studio space with dance mirrors, gym mats, a stage, a sound system and disco lights. We are also working in partnership with Fusion Lifestyle which has offered free access to the outdoor lido swimming pool.

The club is an inclusive setting for eight to sixteen-year-olds. On arrival, our playworkers will support the young people to prepare a healthy meal which they will sit down and eat together in our dining area.

Please note the mobile number is only in use 10am to 7pm Tuesday to Friday. 
",False,,False,,False,,False,,False,,False,Meeting a group of people,Brockwell Lido,Dulwich Road,,London,SE24 0PA,"Brockwell Lido, Dulwich Road, London, SE24 0PA",,,,yjama@whippersnappers.org,020 7738 6633,07949 425 025,7/25/2022 12:00:00 AM,8/12/2022 12:00:00 AM,Summer of Food and Fun 2022
11414,Vauxhall Gardens Community Centre,Culture Chic Shock Play Scheme With Vauxhall Gardens Community Centre,"Combined arts and play scheme for 8 to 16 year olds. 

Join us for a series of dance, drama, arts and crafts and music workshops celebrating London's diverse colourful and multicultural heritage through an exploration of music and fashion and food.

Suitable for children and young people with special educational needs and disabilities.
","Spaces limited, book by email through admin@vgcc.org.uk, subject: culture chic shock. 

Meals provided.

",False,,False,,False,,False,,False,,False,Meeting a group of people,5 Glasshouse Walk,,,London,SE11 5ES,"5 Glasshouse Walk, , London, SE11 5ES",,http://www.vgcc.org.uk/,,sophyab@vgcc.org.uk,07907 333 108,,8/1/2022 12:00:00 AM,8/20/2022 12:00:00 AM,Summer of Food and Fun 2022
11415,Uk Latin Community Cic,Latin Holiday Camp Vauxhall 5 Community Centre,"We will deliver a programme that will focus on Arts and crafts, food and nutrition, sports and well-being.

Our schedule will include a healthy lunch, one hour of structured physical activities such as dance and multi-sports, an hour of arts and crafts such as creating musical instruments out of recyclable materials, an hour of healthy eating awareness, as well as outdoor activities such as visiting the local city farm, visiting a local museum or a local attraction. 

We will share healthy recipes with parents to learn about healthy eating and put it into practice at home.

Suitable for children and young people with special educational needs and disabilities.
","https://forms.gle/dywWJPBLrkXYJ3eE8

UK Latin Community will be hosting a Food and Fun Camp. We will deliver a programme focused on Arts and crafts, food and nutrition, multi-sports and well-being. 

Our schedule will include a healthy lunch, one hour of structured physical activities such as dance and multi-sports, an hour of arts and crafts such as creating musical instruments out of recyclable materials, an hour of healthy eating awareness, as well as outdoor activities such as visiting the local city farm, visiting a local museum or a local attraction.
",False,,False,,False,,False,,False,,True,Meeting a group of people,Vauxhall Five Community Centre,St Oswald's Place,,London,SE11 5JF,"Vauxhall Five Community Centre, St Oswald's Place, London, SE11 5JF",,https://uklatincommunity.org/,,info@uklatincommunity.org,07852 167 580,07491 993 524,7/25/2022 12:00:00 AM,8/18/2022 12:00:00 AM,Summer of Food and Fun 2022
11417,Triangle Adventure Playground,Triangle Adventure Playground Summer Holiday Playscheme,"Triangle Adventure Playground will be offering adventure play, sports, arts & crafts, outdoor play, games, nature play and free play.
 
Suitable for children and young people with special educational needs and disabilities.

","Young people must be registered via our website before attending the playground for the first time. 

http://triangleadventureplayground.com/parents-info-1

Twitter - https://twitter.com/TRIANGLE_APG

IG - https://www.instagram.com/triangle_adventure_playground/

A fun and playful open access adventure playground for  6 to 17 years old, with outdoor play, arts and crafts, sports, trips, learning new skills, making new friends and space to chill. 

Come and go as you please once registered!
",False,,False,,False,,False,,False,,True,Meeting a group of people,Ashmole Street,,,London,SW8 1NE,"Ashmole Street, , London, SW8 1NE",Oval,http://triangleadventureplayground.com/,,triangleapg@gmail.com,07900 475 143,,7/25/2022 12:00:00 AM,9/2/2022 12:00:00 AM,Summer of Food and Fun 2022
11419,The Boury Academy,Summer 2022 With The Boury Academy,"Join us this Summer for an exciting week of workshops!
Participants will create a Show In A Week! They will have classes in dance, drama and singing all with the Amazing Boury Academy Teachers and be ready to perform a full musical in just five days!

Mini B''s for ages 4 to 7 years old will run every day between 10:00 to 13:00.
 
Our Main School will run from 10:00 to 16:00 every day.
 
LUNCH INCLUDED FOR ALL PARTICIPANTS!

We hope to safely produce a performance at 5.30pm for main school and 12pm for Minis on the last day of the week
",,False,,False,,False,,False,,False,,True,Meeting a group of people,Lilian Baylis School,Kennington Road,Oval,London,SE11 5BZ,"Lilian Baylis School, Kennington Road, London, SE11 5BZ",,,,info@thebouryacademy.co.uk,07487 309 247,,7/25/2022 12:00:00 AM,7/29/2022 12:00:00 AM,Summer of Food and Fun 2022
11431,Old Library Youth Club,Rathbone Summer Fit And Fun Activities Programme,"A fun packed summer programme filled with a diverse range of sports and other physical activities suitable for all abilities. Young people will have the opportunity to participate in creative arts and crafts, digital and social media workshops, music and indoor games. At the heart of our programme will be our 'Chef and Share' cooking sessions, young people will prepare a healthy balanced meal that all young people will sit down to eat. The menu will be planned weekly utilizing our Phunky food nutritional resource and eat well meal planning guide.
Each week will culminate with enrichment trips to fun offsite places of interest. (Trips will be chargeable).

This is a NUT FREE site. No food containing nuts will be permitted on site. 

Suitable for children and young people with special educational needs and disabilities.

","Our activities 1can accomodate young people with SEND up to the age 25 years old. 

Free to access onsite days however offsite  trips are chargeable, please ask us for more information. 
",False,,False,,False,,False,,False,,False,Meeting a group of people,The Old Library ,14 - 16 Knight's Hill,,London,SE27 0HY,"The Old Library , 14 - 16 Knight's Hill, London, SE27 0HY",,https://rathbonesociety.org.uk/,,c.king@rathbonesociety.org.uk,020 8766 9280,,7/26/2022 12:00:00 AM,8/26/2022 12:00:00 AM,Summer of Food and Fun 2022
11435,Parallel Youth Enterprise,Lambeth Summer Camp Parallel Youth Enterprise,"During July and August, we will deliver an 18 day  programme of workshops, trips out and sport at St Marin in the Fields School Tulse Hill for one hundred and fifty young people.

There will be over 14 diverse on-site workshops which will include music,  dance, computers, filming, beautician, circus skills, hair care, face painting and arts & crafts. We can offer an ongoing day long sports timetable which will include badminton, football, table tennis, cricket, 
","Family rates and concessions available please let us know if you would like more information. 

Free places to eligible children as part of Lambeth's Summer of Food and Fun programme. 

Our project is ideal for young people experiencing circumstances of hardship where they can access and enjoy activities that perhaps, for many would not be attainable.

The Workshops and Sport are delivered in a safe environment and with encouragement and support. Together these will improve talents, physical and mental well-being, and a healthier lifestyle.

The projects offer some an alternative to young people being involved in anti-social conduct and crime, or perhaps being a victim of crime. The projects are an ideal non-confrontational platform for both police officers and young people to meet. This often helps develop harmony from both sides.

Discovering new skills and understanding within the project workshops can be a foundation stone for future personal development and maybe a route out of deprivation and a road to employment and self-esteem.
",False,,True,10,False,,False,,False,,False,Meeting a group of people,St Martin In The Fields High School,155 Tulse Hill,,London,SW2 3UP,"St Martin In The Fields High School, 155 Tulse Hill, London, SW2 3UP",,http://www.lambethsummercamps.org/,,street.john@talk21.com,07767 352 610,,7/26/2022 12:00:00 AM,8/18/2022 12:00:00 AM,Summer of Food and Fun 2022
11436,Omnibus - Clapham,Routes With Omnibus Theatre,"Alongside receiving breakfast, lunch and healthy snacks, 15 to 20 young people work together under the guidance of our facilitators to create their own production which they perform to friends and family at the end of the week in our Theatre. The aims for the week are simple; to have fun, work as a team, challenge yourself and use your imagination!

Suitable for children and young people with special educational needs and disabilities.
","Routes at Omnibus Theatre is a chance to create your very own play, working with a group of other young people, based on whatever story you want to tell. 
At the end of the week, you will perform the play you have created in our theatre, with lighting, sound and costume. Each day you will also join us for a tasty breakfast and lunch, including a pizza party on the final day!
",False,,False,,False,,False,,False,,True,Meeting a group of people,Omnibus Theatre Clapham ,1 Clapham Common North Side,,London,SW4 0QW,"Omnibus Theatre Clapham , 1 Clapham Common North Side, London, SW4 0QW",,http://www.omnibus-clapham.org/,,felicity.paterson@omnibus-clapham.org,0207 622 4105,,8/1/2022 12:00:00 AM,8/26/2022 12:00:00 AM,Summer of Food and Fun 2022
11440,Norwood Community Group Services,Karate/ Fitness Training And Self Defence Classes,"Norwood Community Group Services invites you to attend our Karate, Fitness & Self Defence classes. You will become accredited (AQA) with the skills that will not only help you to defend yourself. Casual dress is recommended (track suit). 

Teaching children how to deal with confrontational situation. How to deal with the streets and how best to conduct themselves. All ways to live in harmony. 

We will also provide each young person with a food box at the end of each session.
","All users will be required to complete a membership/registration form when joining our programs, Parents/carers must complete this process.

Sessions; 
Monday - Karate and fitness classes
Tuesday - Fitness training and self defence classes ",False,,True,,False,,False,,False,,True,Meeting a group of people,Elmgreen School,Elmcourt Road,,London,SE27 9BZ,"Elmgreen School, Elmcourt Road, West Norwood , London, SE27 9BZ",,https://norwoodcommunitygroup.co.uk/sports/free-karate-fitness-training-and-self-defence-activities-throughout-the-summer/,,info@norwoodcommunitygroup.co.uk,0208 766 9286,07931 919 585,7/25/2022 12:00:00 AM,8/30/2022 12:00:00 AM,Summer of Food and Fun 2022
